date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:20	14902/14902	---M-Z	200	added ('OK')	text/html	etag:%22dd5f06371705689baea2e4d8ce06a784-ssl-df%22	https://utmbuilder.net/	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/utmbuilder.net/index.html	(from )
18:05:20	45/45	---M--	200	added ('OK')	text/plain	etag:%2255cf5ccd500c5e81f6a6f555d6766018-ssl%22	https://utmbuilder.net/robots.txt		(from )
18:05:20	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%228655f31b76452658137b64744bd6f7a0-ssl%22	https://utmbuilder.net/assets/images/favicon.ico	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/utmbuilder.net/assets/images/favicon.ico	(from https://utmbuilder.net/)
18:05:22	852/852	---M--	200	added ('OK')	image/png	etag:ec8703f000dd778b4583b85a6d9d61f12c801ad8	https://d33wubrfki0l68.cloudfront.net/assets/images/74f115b59d3b23006a578390ba3e0f665f652cbc/logo-74f115b5.png	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/d33wubrfki0l68.cloudfront.net/assets/images/74f115b59d3b23006a578390ba3e0f665f652cbc/logo-74f115b5.png	(from https://utmbuilder.net/)
18:05:22	10453/10453	---M-Z	200	added ('OK')	text/html	etag:%22aed8739e0a3bdd96830897087f71f0e8-ssl-df%22	https://utmbuilder.net/simple-url-builders/	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/utmbuilder.net/simple-url-builders/index.html	(from https://utmbuilder.net/)
18:05:23	17481/17481	---MCZ	200	added ('OK')	text/html	etag:%22a711e1188d9dd6c8d82a15ddcdd912ef-ssl-df%22	https://utmbuilder.net/spreadsheets/	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/utmbuilder.net/spreadsheets/index.html	(from https://utmbuilder.net/)
18:05:25	11161/11161	---MCZ	200	added ('OK')	text/html	etag:%22f8da4540d4bb2584358922ac130e614e-ssl-df%22	https://utmbuilder.net/testing-utm-builders/	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/utmbuilder.net/testing-utm-builders/index.html	(from https://utmbuilder.net/)
18:05:27	3048/3048	---MCZ	404	error ('Not%20Found')	text/html	etag:1551998156-ssl-df	https://utmbuilder.net/Please%20fill%20all%20the%20required%20fields%20before%20we%20can%20generate%20the%20UTM%20URL.	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/utmbuilder.net/Please%20fill%20all%20the%20required%20fields%20before%20we%20can%20generate%20the%20UTM%20URL.5.delayed	(from https://utmbuilder.net/)
18:05:29	81269/81269	---MCZ	200	added ('OK')	application/javascript	etag:%2293889a217253601630c7d6b9ba70e28c-ssl-df%22	https://utmbuilder.net/assets/javascripts/all-1ffe8634.js	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/utmbuilder.net/assets/javascripts/all-1ffe8634.js	(from https://utmbuilder.net/)
18:05:30	677096/677096	---MCZ	200	added ('OK')	text/css	etag:%2299a15842f31725cb07f44989839bb624-ssl-df%22	https://utmbuilder.net/assets/stylesheets/site-f66f906a.css	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/utmbuilder.net/assets/stylesheets/site-f66f906a.css	(from https://utmbuilder.net/)
18:05:31	84380/84380	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	(from https://utmbuilder.net/)
18:05:31	218392/218392	---MCZ	200	added ('OK')	application/octet-stream	etag:%224fae83f98539348db30e04563002adba-ssl-df%22	https://utmbuilder.net/assets/fonts/icomoon-3e35cf37.eot?3p0rtw	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/utmbuilder.net/assets/fonts/icomoon-3e35cf37e627.eot	(from https://utmbuilder.net/assets/stylesheets/site-f66f906a.css)
18:05:31	218392/218392	---M-Z	200	added ('OK')	application/octet-stream	etag:%224fae83f98539348db30e04563002adba-ssl-df%22	https://utmbuilder.net/assets/fonts/icomoon-3e35cf37.eot?	C:/Users/Quang/OneDrive/Desktop/TSAweb/cvt2/utmbuilder.net/assets/fonts/icomoon-3e35cf37d41d.eot	(from https://utmbuilder.net/assets/stylesheets/site-f66f906a.css)
